question,x,y
double stuf cookies,0.94359,0.47265
creme-filled snacks,0.79558,0.30907
some cookies,0.95371,0.47116
twistable treats,0.90369,0.07601
crossword cookie,0.75458,0.38649
sandwich treat,0.82644,0.13416
nabisco offering,0.84003,0.24539
oft-dunked treat,0.91366,0.08252
black-and-white sandwich,0.82951,0.49357
black and white sandwich,0.82951,0.49356
lickable cookie,0.70325,0.25591
nosh from nabisco,0.82885,0.24278
little dipper?,0.90549,0.32774
it comes in black and white,0.79557,0.30267
big stuf cookie,0.76159,0.57218
ice cream flavor,0.80846,0.39415
"double stuf, eg",0.87131,0.25955
tiered treat,0.91283,0.16538
crumbled ice cream topping,0.83671,0.35665
three-part cookie,0.73949,0.40860
snack choice,0.81471,0.27523
sister brand of nilla,0.98056,0.36799
billion-selling cookie,0.75658,0.37900
"ice-cream extra, perhaps",0.82164,0.36396
top-selling cookie,0.74513,0.36968
triple-decker snack,0.85020,0.18874
nabisco snack,0.80500,0.35083
chocolate treat,0.93152,0.09310
dirt pie ingredient,0.88244,0.24868
a favorite with milk,0.82372,0.14687
black and white snacks,0.85596,0.65128
three-layer snacks,0.83719,0.23994
black and white cookies,0.80863,0.49743
cookies in dirt cake,0.93617,0.44936
lunchbox cookie,0.73863,0.44168
dessert sandwich,0.84636,0.50420
grade-school snack,0.82308,0.12218
cookie with three parts,0.75458,0.38649
oft-dunked cookie,0.74340,0.39022
chiaroscuro cookie,0.75458,0.38649
"milk's favorite cookie, according to ads",0.87360,0.40227
cookies-and-cream cookie,0.76576,0.62331
chocolate sandwich,0.91837,0.33285
snack that's often separated,0.80267,0.39434
bite in black and white,0.78253,0.33919
soft-centered snack,0.84273,0.14962
black and white snack,0.85367,0.62964
cookie that predates crossword puzzles,0.78703,0.32452
crunchy ice cream flavor,0.80958,0.35108
multi-level cookie,0.75458,0.38649
sunshine hydrox alternative,0.93413,0.27802
classic nabisco snack,0.80500,0.35083
stratified snack,0.80728,0.11655
dirt cake ingredient,0.92548,0.34751
ice cream add-in,0.80254,0.36816
lickable treat,0.87973,0.08523
white-and-black stacked snack,0.85702,0.63135
hundred-year-old cookie,0.76133,0.48507
milk go-with,0.82056,0.12046
stacked snack,0.79156,0.22539
kraft cookie brand,0.75160,0.20239
lunch box treat,0.88617,0.09325
licked cookie,0.69897,0.48693
triple-layer cookie,0.75658,0.37900
oft-twisted cookie,0.69080,0.44734
popular snack since 1912,0.84590,0.33066
sandwich-style sweet,0.89695,0.38751
oft-twisted treat,0.89248,0.09724
longtime hydrox competitor,0.86893,0.33990
cookie shaped like two of its letters,0.71280,0.42827
cookie with a thins variety,0.73038,0.33843
sandwich cookie name,0.90316,0.32597
lunchbox goody,0.94210,0.27101
crosswords' favorite cookie,0.75458,0.38649
crunchy ice-cream flavor,0.82107,0.36815
cookie deep-fried at fairs,0.70076,0.41230
___ o's (post cereal),0.82537,0.49520
cookie that debuted in 1912,0.84099,0.36523
it may get a good licking,0.93272,0.24332
snack that's bitten or licked,0.80394,0.39900
it may get a licking after dinner,0.90288,0.28915
it's often twisted apart,0.78026,0.24006
it has a creamy middle,0.88922,0.18911
nabisco item,0.85052,0.23307
nabisco best-seller,0.84600,0.23935
cookie with a floral design on it,0.73175,0.51131
ice cream mix-in,0.80967,0.34948
dunking cookie,0.76833,0.36189
doublestuf cookie,0.72314,0.52304
popular lunch bag munchie,0.92553,0.28759
cookie type,0.73175,0.51131
cookie with filling,0.72847,0.46640
three-tiered treat,0.93278,0.13831
cookie treat since 1912,0.91823,0.31697
two-tone snack,0.83363,0.26027
cookie snack,0.84086,0.34366
popular cookie since 1912,0.84106,0.37839
cookie with its name on its side,0.74513,0.36968
embossed snack,0.82341,0.21518
vowel-rich snack,0.83256,0.17022
cookie in some ice cream,0.87385,0.24939
cookie in pie crusts,0.74340,0.39022
black-and-white classic,0.77397,0.34706
hydrox look-a-likes,0.88143,0.25611
bicolor cookies,0.95422,0.47557
separable cookies,0.93358,0.50860
black-and-white bites,0.79842,0.35495
twisted-apart treats,0.88208,0.61086
snack cookies,0.74470,0.29057
triple-layer treats,0.91230,0.07826
cream-filled treats,0.82097,0.49320
layered snacks,0.82160,0.21427
three-layer cookies,0.95436,0.48805
lunchbox cookies,0.92039,0.46182
triple-decker treats,0.91322,0.0
cookie favorites,0.70076,0.41230
triple-decker cookies,0.92405,0.41611
layered treats,0.90374,0.10999
lunch box cookies,0.91335,0.43348
two-toned cookies,0.95364,0.41743
goodie in the lunchbox,0.87246,0.30801
cookie,0.69080,0.39214
"subject of weird al yankovic's ""the white stuff""",0.80251,0.20741
tiered snack,0.85761,0.23457
vanilla ice cream add-in,0.82071,0.37761
black and white bite,0.78353,0.32885
black-and-white delight,0.79539,0.31316
cookie added to a mcflurry,0.76062,0.46994
cookie with a twist?,0.73115,0.49196
a kid'll eat the middle of one first,0.87607,0.29940
oft-disassembled cookie,0.72847,0.46640
often-dunked item,0.93692,0.29139
sandwich for dessert,0.84417,0.50828
cream sandwich,0.85041,0.47950
chocolate creme cookie,0.83740,0.20696
it has two tones and three tiers,0.89751,0.23838
nonagenarian cookie,0.72847,0.46640
cookie with a crunch,0.72847,0.46640
snack cookie since 1912,0.83119,0.38666
cookie sandwich,0.90629,0.32050
frequently dunked cookie,0.72314,0.52304
treat often taken apart,0.87650,0.60386
chips ahoy! alternative,0.88913,0.27696
chocolaty snack,0.82819,0.22036
chocolaty treat,0.90642,0.12626
dunker's cookie,0.81243,0.48207
klondike bar variety,0.80567,0.59169
blizzard flavor,0.92413,0.23871
nabisco sandwich cookie,0.87421,0.32138
cookies 'n cream cookie,0.76576,0.62331
crispy creme treat,0.83979,0.48339
dunked treat,0.91670,0.02779
double stuf treat,0.92236,0.08998
after-dinner sandwich?,0.91400,0.38490
creme sandwich,0.84526,0.48610
creme treat,0.83950,0.46476
lunchbag dessert,0.83956,0.34741
it may be pulled apart before eating,0.92908,0.55362
its top may be twisted off,0.85721,0.32695
snack sandwich,0.85649,0.50617
popular treat to split,0.92133,0.10473
snack with several eating options,0.84999,0.12935
circular cookie,0.72231,0.39598
nabisco trademark,0.81661,0.21362
circular treat,0.93802,0.12840
__ cakesters,0.92500,0.29362
breyers __ cookies & cream,0.71998,0.07142
android operating system named for a cookie,0.69080,0.39214
cookie in dirt pudding,0.71345,0.35440
cookie with a thins bites variety,0.73224,0.36071
mcflurry cookie,0.69752,0.42650
snack sometimes eaten from the inside out,0.80579,0.19242
bestselling cookie,0.69335,0.35719
snack treat,0.85599,0.43419
droxie rival,0.90316,0.35818
doublestuf treat,0.92664,0.03135
three-layered treat,0.92579,0.06811
sweet debut of 1912,0.73479,0.18209
droxie competitor,0.86821,0.26842
after-lunch snack,0.81294,0.24602
big name at nabisco,0.82166,0.18499
three-tiered snack,0.84907,0.21131
white-center snack,0.78891,0.36502
brand with a 2012 centennial,0.97707,0.33892
wonderfilled snack,0.79848,0.17734
post-sandwich sandwich,0.91451,0.33011
stacking contest cookie,0.73949,0.40860
jell-o pudding flavor,0.93285,0.22176
"sundae topper, perhaps",0.87550,0.24187
golden ___ (nabisco cookie),0.72334,0.18227
dairy queen blizzard choice,0.90110,0.20257
embossed treat,0.93836,0.02991
milk's favorite cookie sloganeer,0.87360,0.40227
double stuf racing league brand,0.98135,0.36017
fudgees brand,0.97081,0.34368
it can be twisted,0.86100,0.28844
mcflurry flavor at mcdonald's,0.83746,0.49618
"kind of ""snackwich""",0.87937,0.38070
chocolate-and-cream cookie,0.85944,0.23185
cookie in stacking contests,0.76979,0.34939
dessert item since 1912,0.82147,0.36204
cookie with a creamy middle,0.76062,0.46994
snack brand that sponsored dale earnhardt,0.79678,0.35263
"double stuf, for one",0.91134,0.25391
snack with a lickable center,0.84713,0.24522
cookie with its name on it,0.73949,0.40860
"treat with a ""golden"" variety",0.89985,0.55176
cookie with creme in the middle,0.83320,0.18969
double-disc cookie,0.69335,0.35719
small sandwich,0.92088,0.38144
___ blizzard (dairy queen offering),0.92365,0.21912
crumbly snack,0.81092,0.16342
it may get dipped in milk,0.81206,0.17182
snack item that's round on both ends?,0.80242,0.39337
cookie in cookies-and-cream ice cream,0.78406,0.58546
cookie with white filling,0.74024,0.29822
cookie that's often pulled apart,0.87446,0.43647
cookie with a creme filling,0.82406,0.19002
treat embossed with its name,0.88696,0.09631
treat with a thins variety,0.89985,0.55176
cookie giant,0.77306,0.30162
lunch box cookie,0.73790,0.44998
lunchbox snack,0.84130,0.17110
it's creamy in the middle,0.81603,0.50737
particular sandwich cookie,0.90076,0.29795
bicolor treat,0.89656,0.06666
"brown bagger's dessert, perhaps",0.79645,0.10398
grade school snack,0.84614,0.14788
round sandwich cookie,0.90701,0.33097
uh-oh! cookie,0.74513,0.36968
sandwich-style dunker,0.90322,0.37152
"lunchbox snack, perhaps",0.82029,0.17749
"cookie jar denizen, often",0.72047,0.30596
"cookie jar denizen, perhaps",0.73949,0.40860
cream-filled treat,0.82097,0.49320
cookie treat,0.90405,0.33908
layered cookie treat,0.90471,0.33942
snack with a creamy middle,0.83436,0.16535
"lunchbox cookie, sometimes",0.70477,0.49267
cookie jar denizen,0.74513,0.36968
type of cookie,0.77203,0.49798
three-tiered cookie,0.72828,0.31344
cookies and cream cookie,0.76576,0.62331
one twisted cookie?,0.75458,0.38649
cookie with flower designs,0.66728,0.48940
nabisco's answer to the hydrox,0.83351,0.41704
cookie in dirt cake,0.74401,0.44059
often-dunked snack,0.85155,0.25235
separable cookie,0.74401,0.44059
"new ""biscuit"" of 1912",0.74898,0.15888
two-tone sandwich,0.89949,0.34591
nutter butters' kin,0.87101,0.31351
lunchbox goodies,0.90125,0.33245
chocolate cookies,0.93039,0.40345
bi-colored cookies,0.92728,0.47877
bite-size sandwiches,0.91158,0.39005
black-and-white munchies,0.78994,0.36880
lunchbox snacks,0.81112,0.20749
chips ahoy alternative,0.93031,0.34153
snack items since 1912,0.84349,0.32382
three-layered treats,0.94694,0.07867
double stuf products,0.89106,0.30670
snacks with milk,0.90541,0.51552
snack sensations since 1912,0.84389,0.33340
triple-tiered treats,0.90062,0.09635
dunkable treats,0.91035,0.13352
separable snacks,0.82098,0.23845
snacker's stack,0.82504,0.48811
nabisco treats,0.87961,0.37074
double delight snacks,0.81013,0.12382
100-year-old treats,0.90366,0.03073
some mcflurry ingredients,0.89740,0.35147
cookies in some pie crusts,0.91406,0.48700
three-layer treats,0.91038,0.01526
black and white nosh,0.79885,0.35579
best-selling cookies,0.95097,0.41938
certain ice-cream additives,0.82954,0.37508
"they're essential to a dairy queen ""blizzard""",0.89254,0.34535
triple-decker snacks,0.79161,0.22503
sandwiches that are often eaten open-faced?,0.89346,0.36166
filled treats,0.89095,0.11904
some black and white snacks,0.85010,0.63723
crunchy snacks,0.81846,0.18468
classic cookies,0.96687,0.42049
some cookie favorites,0.73006,0.27739
sugary cookie snacks,0.84086,0.34366
triple-layer cookies,0.92668,0.40551
cookies with creme,0.81770,0.46788
dunkable snacks,0.81492,0.19310
dunkin' cookies?,0.91134,0.44674
popular crossword cookie,0.75458,0.38649
branded treat in some ice creams,0.91321,0.45722
cookie shown with rainbow filling in ads on gay pride day,0.69080,0.39214
"cookie that now has a ""cookie dough"" flavor",0.73175,0.51131
cookies and cream ice cream cookie,0.78406,0.58547
sandwich creme,0.84526,0.48610
cookie classic,0.73949,0.40860
duotone cookie,0.69752,0.42650
something dunked,0.85758,0.29305
lunchbox stuffer since 1912,0.74028,0.17396
cookie served deep-fried at state fairs,0.71446,0.31099
nabisco product certified as kosher in 1998,0.83267,0.19554
junk-food sandwich,0.92211,0.35865
cookie with a candy corn variety,0.73265,0.32710
ingredient in several dairy queen blizzards,0.91084,0.25283
chocolaty treat since 1912,0.89608,0.31184
cookie that reportedly is produced in 59 minutes,0.73902,0.40024
"cookie whose ""templar"" design elements have been debunked by snopescom",0.73949,0.40860
mystery ___ (october 2017 snack release),0.83122,0.24833
treat whose cherry cola version debuted in 2018,0.93943,0.06950
black-and white treat,0.90697,0.46754
hydrox clone,0.86975,0.29212
kid'll eat the middle cookie,0.75458,0.38649
it's one twisted cookie,0.82339,0.52503
twisted snack?,0.82565,0.20667
a kid'll eat the middle of an ___ first,0.92493,0.29681
black and white biscuit,0.78546,0.34187
creme-y snack,0.79653,0.31621
it often gets dunked,0.89950,0.24790
two-toned sandwich,0.91365,0.34830
90-year-old cookie,0.69707,0.39769
ice cream variety,0.79826,0.33235
lunchbox sandwich?,0.90398,0.36152
snack that's been kosher since 1998,0.79990,0.39664
droxie lookalike,0.92865,0.24842
dunker's delight,0.82528,0.50223
nabisco buy,0.82709,0.18237
white and black snack,0.86001,0.63664
treat that is often taken apart,0.87569,0.62069
chocolate-creme cookie,0.82729,0.20940
cookie frequently taken apart,0.91448,0.30926
cookie sold in a white fudge version in winter,0.74024,0.29822
ingredient in edible dirt with worms,0.89512,0.34306
sandwich creme cookie,0.87455,0.32133
treat that comes apart,0.87509,0.59409
brown-and-white cookie,0.74024,0.29822
cookie on a domino's pizza,0.81007,0.51632
cookie that can be taken apart,0.90307,0.29660
double delight for cookie monster,0.73603,0.57735
each one has two colors and three layers,0.88654,0.37933
cookie for dunking,0.68123,0.34323
one topping for a domino's dessert pizza,0.78757,0.09603
twisted cookie,0.69080,0.44734
after-school munchie,0.95216,0.25166
best-selling cookie in america,0.67552,0.47269
favorite snack in crosswords?,0.82327,0.16402
fun stix cookie brand,0.75292,0.20287
kraft foods cookie brand,0.74331,0.20652
snack whose ingredient list ends with chocolate,0.80516,0.16733
cookie that predates crosswords,0.69080,0.39214
filling snack?,0.83022,0.14454
satirical 1974 novel by fran ross that shares its name with a cookie,0.69080,0.39214
___ dessert pizza (domino's dish),0.78703,0.11799
100 years young cookie,0.69080,0.39214
blizzard variety,0.80567,0.59169
brand featured at nabiscoworldcom,0.98290,0.37588
brand with chocolate cookie outsides,0.75514,0.22742
cookie embossed with florets,0.67552,0.47269
"cookie sandwiched inside 17-, 24-, 42-, and 56-across",0.74401,0.44059
cookie that celebrated its centennial this year,0.73949,0.40860
cookie whose embossed design is trademarked,0.75458,0.38649
cookie with spring and winter varieties,0.73211,0.35515
dessert developed by nabisco in 1912,0.82243,0.36644
name on a cookie,0.69335,0.35719
stacked treat,0.90824,0.13837
sundae mix-in,0.88539,0.40716
"sweet, circular treat",0.90717,0.04228
"bicolor ""biscuit"" since 1912",0.74489,0.16585
blizzard choice at dairy queen,0.88255,0.24120
"cookie seen in ""wreck-it ralph""",0.75458,0.38649
cookie that received its kosher certification in late 1997,0.80541,0.37908
cookie that recently celebrated its centennial,0.74880,0.31138
cookie with a name of unknown origin,0.75834,0.47922
crunchy sundae topping,0.90361,0.27777
"its slogan is ""milk's favorite cookie""",0.87360,0.40227
longtime hydrox rival,0.91359,0.33128
top-selling cookie of the 20th century,0.69080,0.44734
"addictive cookie, according to a 2013 study",0.75458,0.38649
it can make a cookie shake crunchy,0.72847,0.46640
sweet snack-time sandwich,0.85649,0.50617
tripartite treat,0.91407,0.05484
wonderfilled sweet treat,0.90553,0.06226
black-and-white invention of 1912,0.77791,0.39689
blizzard option at dairy queen,0.88105,0.19405
cookie for which a block in manhattan is named,0.74513,0.36968
cookie often served deep-fried at state fairs,0.73949,0.40860
cookie that was verified as kosher in 1997,0.71446,0.31099
cookie used in many desserts,0.74151,0.23213
crossword solver's favorite cookie?,0.81754,0.52853
snack with banana split and birthday cake varieties,0.89154,0.52918
traditional cookie in cookies 'n cream ice cream,0.78406,0.58546
treat often pulled apart,0.87920,0.60437
"cookie crumbled in a milkshake, often",0.76133,0.48507
stackable food,0.92542,0.25639
<<no clue>>,0.90338,0.39381
cookie that celebrated its centennial in 2012,0.73949,0.40860
lunch-box snack,0.83137,0.21859
cookie shelf favorite,0.75458,0.38649
hydrox cookie rival,0.69834,0.43186
milk dipper?,0.83337,0.13840
after-school sandwich,0.92252,0.34006
it can be twisted apart,0.92933,0.57553
it may be licked,0.86643,0.28724
lunch bag dessert,0.84410,0.37381
cream-filled snack,0.75732,0.29465
crunchy cookie,0.78795,0.42087
ice cream cone flavor,0.82866,0.34690
popular lunchbag item,0.88249,0.33726
it was made kosher in 1998,0.90006,0.28989
lunchbag snack,0.81707,0.26482
little dipper in a milky way?,0.89700,0.28994
95-year-old cookie,0.76979,0.34939
cookie that can be divided,0.74401,0.44059
lunch munchie,0.90847,0.31956
lunchtime snack,0.79977,0.12799
treat with creme,0.83430,0.47143
lunch bag treat,0.91068,0.07923
cookie-based jell-o pudding flavor,0.73006,0.27739
its parts may be eaten separately,0.88078,0.34315
nabisco chocolate-and-creme cookie,0.87325,0.34368
its creme may be eaten first,0.79181,0.31835
one may be dipped in milk,0.82959,0.15293
cookie that might flavor a mcflurry,0.73175,0.51131
"food associated with the starts of 16-, 36- and 56-across",0.92138,0.27631
ice cream-and-cookies brand,0.80510,0.51394
snack with a removable top,0.83353,0.21410
after-school cookie,0.73902,0.40024
cookie used in milkshakes,0.75458,0.38649
one dunked after school,0.87550,0.25084
"brand with a ""twist, lick, dunk"" app",0.98578,0.34607
dipped cookie,0.73115,0.49196
popular dunker,0.89747,0.39171
pulled-apart cookie,0.90729,0.29267
snack brand with a 2012 centennial,0.79678,0.35263
versatile cookie,0.69080,0.39214
cookies n' creme cookie maker,0.77068,0.61336
dunked cookie,0.78021,0.51264
mcflurry option,0.92024,0.31194
snack that's been a kosher food since 1998,0.80330,0.39001
__ balls: chocolaty snacks,0.85515,0.16693
cookie that has its own day every march 6,0.73902,0.40024
snack sometimes fried,0.83932,0.26021
snack with a white center,0.78891,0.36502
three-ply cookie,0.73949,0.40860
treat often split,0.94554,0.09551
__ cookies 'n creme: jell-o flavor,0.82208,0.46877
cookie with a limited-edition swedish fish variety,0.72318,0.33114
dairy queen blizzard flavor,0.91467,0.19903
dunked snack,0.80186,0.24190
one may be crumbled on a sundae,0.90541,0.35156
"__ biscuit, product debut of 1912",0.74724,0.16785
apt name for a tuxedo cat,0.90343,0.28504
nabisco bite,0.83964,0.21670
stale cookie in crosswords?,0.75458,0.38649
two-toned snack,0.82754,0.16593
big name in the cookie aisle,0.69365,0.37746
cookie in some breyers cookies & cream,0.76576,0.62331
crumbled sundae-topping cookie,0.75458,0.38649
dq blizzard flavor,0.88756,0.27246
good name for a tuxedo cat,0.90979,0.32296
"it was originally called a ""biscuit""",0.93222,0.28511
layered nabisco treat,0.87962,0.37074
cookie with a red velvet variety,0.73398,0.31444
cookie with a tiramisu flavor creme variety,0.87357,0.35503
crumbled sundae topper,0.88477,0.23208
it was inspired by sunshine hydrox cookies,0.93870,0.40475
mega stuf cookie,0.76133,0.48507
snack with a green tea version in china and japan,0.83618,0.20477
chocolate sandwich cookie,0.90297,0.31835
droxies competitor,0.89131,0.29575
tasty snack,0.84226,0.15428
dunkiest treat,0.91390,0.04647
bestselling snack,0.79584,0.18055
three-ply treat,0.88167,0.06799
wafers-and-creme cookie,0.82821,0.20852
cookie first made in manhattan,0.73949,0.40860
cookie-aisle name,0.71446,0.31099
mint-flavored snack,0.86351,0.19820
cookie of note,0.75458,0.38649
lunchbox sweet,0.87478,0.35161
nabisco name,0.83939,0.22231
"snacker's ""sandwich""",0.85932,0.50470
"cookie with a 1 3/4"" diameter",0.69080,0.44734
snack introduced in 1912,0.84147,0.34069
domino's __ dessert pizza,0.79146,0.11168
edible disk,0.90421,0.35912
ice-cream additive,0.81060,0.33586
milk partner,0.82333,0.18039
"ice-cream ingredient, maybe",0.83886,0.36755
it was once made with lemon meringue,0.90328,0.26057
milk-and-cookies choice,0.82597,0.53156
one of a half-trillion sold since 1912,0.73606,0.19062
"ice-cream extra, at times",0.81820,0.35650
world's best-selling cookie,0.79872,0.50433
"cookies & cream ingredient, maybe",0.71998,0.07142
ice-cream flavor,0.82973,0.37366
popular ice-cream ingredient,0.81989,0.32979
twisted-apart treat,0.87056,0.60298
cookie first sold in 1912,0.83573,0.37055
cookie found in ice cream,0.87385,0.24939
crumbled ice-cream additive,0.82162,0.40569
crunchy ice-cream topping,0.82967,0.34723
crushed sundae topping,0.89884,0.23375
domino's topping introduced in '07,0.82783,0.50973
wonderfilled sweet,0.90481,0.33393
8 down cookies 'n creme ingredient,0.81920,0.47462
brownie brand,0.99016,0.32405
crunchy ice-cream addition,0.81948,0.39478
double stuf brand,0.97850,0.32370
jell-o pudding flavoring,0.88898,0.27177
mini found in snak-saks,0.86579,0.23879
sandwich cookie brand,0.87411,0.32140
"small, round sandwich",0.90603,0.31393
snack brand that turned 100 in 2012,0.79678,0.35264
white-centered treat,0.86532,0.40838
grab 'em pop 'em love 'em brand of minis,0.99142,0.39343
the world's favorite cookie,0.81177,0.51640
best-selling sandwich cookie,0.89550,0.32210
big nabisco brand,0.80720,0.30088
crunch parfait ingredient,0.87633,0.32214
handi-snacks brand,0.79678,0.35263
its spring edition has yellow filling,0.89656,0.38344
its limited editions have included watermelon and gingerbread,0.91435,0.24367
"snack in a new ""thin"" version",0.84032,0.23122
snack often twisted,0.82509,0.22053
snackworkscom brand,0.99698,0.35925
popular nabisco cookie,0.72334,0.18227
round snack,0.81258,0.15873
brownie alternative,0.89173,0.29767
double delight treat,0.88848,0.08402
it might be worth a fig newton in a cafeteria trade,0.89156,0.32731
kraft foods brand,0.99130,0.31983
lunchbox sandwich,0.92440,0.35382
snack time treat,0.85599,0.43419
uh-oh! ___ (chocolate creme cookie),0.83602,0.17538
a kid'll eat the middle of it first,0.92476,0.32578
cookie barz brand,0.75194,0.22572
halloween ___ (cookie with orange creme),0.82872,0.17976
mint 'n creme cookie,0.82694,0.17889
national biscuit company creation of 1912,0.74890,0.19843
snack that can be twisted open,0.80709,0.14739
___ matchin' middles (fisher-price game),0.90512,0.37479
"after-school treat, maybe",0.92988,0.13482
blizzard flavor at dairy queen,0.91401,0.17703
brand of piecrust,0.99247,0.33554
flavor of a mcdonald's mcflurry,0.82287,0.52793
ice cream sandwich brand,0.82620,0.49185
its ingredient list starts with sugar and ends with chocolate,0.91965,0.29675
lickable snack,0.80062,0.22236
newton alternative,0.89430,0.27042
the first one was made at what is now chelsea market,0.93588,0.36758
brand of chocolate cones,0.99076,0.36627
brand since 1912,0.78011,0.24332
cookie that's been kosher since 5758,0.80691,0.53547
lunchables treat,0.93404,0.06672
makeshift beach blanket othello piece?,0.91874,0.31265
mallomar alternative,0.93220,0.22513
newman-o lookalike,0.93012,0.35495
see 23-across,0.90264,0.40429
sponsor of nascar's meijer 300 race,0.82808,0.49566
___ dunkers (oblong cookies),0.95351,0.47531
___ freeze (drink at friendly's),0.83612,0.52081
___ o's (chocolaty cereal),0.82876,0.51625
___ thin crisps (nabisco product),0.83433,0.25087
"dark, delicious cookie of ad jingle fame",0.76833,0.36189
___ cookie blues (lonnie mack song),0.69335,0.35719
brand on nabiscoworldcom,0.98513,0.32963
breyers ice cream flavor,0.82880,0.38725
dessert pizza topping at domino's,0.78736,0.10600
