clue,count,percent
Nabisco's answer to the Hydrox,2,0.07
Android operating system named for a cookie,2,0.07
Cookie in dirt pudding,2,0.07
Cookie with a Thins Bites variety,2,0.07
McFlurry cookie,2,0.07
Cookie with a creme filling,2,0.07
Treat embossed with its name,2,0.07
Treat with a Thins variety,2,0.07
Cookie in dirt cake,2,0.07
Often-dunked snack,2,0.07
Separable cookie,2,0.07
Cookies and cream cookie,2,0.07
Cream-filled sandwich,1,0.03
Fig Newton rival,1,0.03
Item dunked in milk,1,0.03
Triple-layer treat,1,0.03
It often gets a lick,1,0.03
Breeze: Sp.,1,0.03
It's a cookie,1,0.03
Lunch-box snack,1,0.03
Chocolate snack,1,0.03
Nabisco sweet,1,0.03
Layer cookie,1,0.03
Lunch box snack,1,0.03
Cookie of cookies,1,0.03
Hydrox clone,1,0.03
Cookie created in 1912,1,0.03
Cookie created to compete with Hydrox,1,0.03
"""Kid'll eat the middle"" cookie",1,0.03
It's one twisted cookie,1,0.03
Twisted snack?,1,0.03
Cookie shelf favorite,1,0.03
Hydrox cookie rival,1,0.03
Milk dipper?,1,0.03
Chocolate sandwich cookie,1,0.03
It's dipped in milk,1,0.03
Mountain: Prefix,1,0.03
"""Biscuit"" treat introduced in 1912",1,0.03
Kind of cookie,1,0.03
Milk companion,1,0.03
Milk dipper,1,0.03
Sandwich sweet,1,0.03
"""...a kid'll eat the middle of an ___ first""",1,0.03
Black and white biscuit,1,0.03
After-school sandwich,1,0.03
Droxies competitor,1,0.03
Tasty snack,1,0.03
It may be double-stuffed,1,0.03
"It's ""sandwiched"" in 17-, 23-, 35-, 45- and 56-Across",1,0.03
Sometimes-twisted snack,1,0.03
Food with its name imprinted on it,1,0.03
Nabisco has introduced a bite-sized one,1,0.03
Cookie made famous by crosswords,1,0.03
Cookie snack since 1912,1,0.03
"Milk dipper, for some",1,0.03
Twist-off cookie,1,0.03
Favorite cookie,1,0.03
Creme-y snack,1,0.03
It often gets dunked,1,0.03
Two-toned sandwich,1,0.03
"""Dunkiest"" treat",1,0.03
Often-twisted treat,1,0.03
Round of snacking?,1,0.03
Food often disassembled before consumption,1,0.03
Food often twisted apart before consumption,1,0.03
A kid will eat the middle of this first,1,0.03
A kid'll eat the middle first,1,0.03
Cream-filled delight,1,0.03
Lunch box treat since 1912,1,0.03
Droxie cookie rival,1,0.03
Dunkin' cookies?,1,0.03
90-year-old cookie,1,0.03
Ice cream variety,1,0.03
Lunchbox sandwich?,1,0.03
Snack that's been kosher since 1998,1,0.03
Bestselling snack,1,0.03
Three-ply treat,1,0.03
Wafers-and-creme cookie,1,0.03
Popular Nabisco cookie,1,0.03
Round snack,1,0.03
"It has a 1 3/4"" diameter",1,0.03
Snack favorite,1,0.03
Something often twisted apart,1,0.03
Food that became kosher in 1998,1,0.03
Lunchbox favorite,1,0.03
Lunchbox goodie,1,0.03
Sandwich that won't make a lunch,1,0.03
Treat for Cookie Monster?,1,0.03
Brown bagger's dessert,1,0.03
Mountain combiner,1,0.03
Round-on-both-sides snack,1,0.03
Creme container,1,0.03
Droxie lookalike,1,0.03
It can be twisted apart,1,0.03
It may be licked,1,0.03
Lunch bag dessert,1,0.03
Cookie first made in Manhattan,1,0.03
Cookie-aisle name,1,0.03
Mint-flavored snack,1,0.03
Brownie alternative,1,0.03
Double Delight treat,1,0.03
It might be worth a Fig Newton in a cafeteria trade,1,0.03
Kraft Foods brand,1,0.03
Lunchbox sandwich,1,0.03
Snack time treat,1,0.03
Uh-Oh! ___ (chocolate creme cookie),1,0.03
Cookie that has its name on it,1,0.03
Filled treat,1,0.03
It may be dunked,1,0.03
Cookie bestseller,1,0.03
"Lunch box addition, perhaps",1,0.03
Top-selling U.S. cookie,1,0.03
Popular treat since 1912,1,0.03
Lunchbox stuffer since 1912,1,0.03
Black-and white treat,1,0.03
Dunker's delight,1,0.03
Nabisco buy,1,0.03
White and black snack,1,0.03
Cream-filled snack,1,0.03
Crunchy cookie,1,0.03
Ice cream cone flavor,1,0.03
Popular lunchbag item,1,0.03
A kid'll eat the middle of it first,1,0.03
Cookie Barz brand,1,0.03
Halloween ___ (cookie with orange creme),1,0.03
Mint 'n Creme cookie,1,0.03
National Biscuit Company creation of 1912,1,0.03
Snack that can be twisted open,1,0.03
___ Matchin' Middles (Fisher-Price game),1,0.03
Cookie with creme inside,1,0.03
Food item whose name appears on its side,1,0.03
Name on a wafer,1,0.03
Snack sold in a stack,1,0.03
Wafers-and-creme treat,1,0.03
Snack food,1,0.03
Classic treat,1,0.03
"Cookie jar denizen, maybe",1,0.03
Cookie often eaten inside out,1,0.03
Cookies 'n' cream component,1,0.03
Creamy cookie,1,0.03
Nabisco best seller,1,0.03
Store-bought cookie,1,0.03
Double Stuf delight,1,0.03
Popular crossword cookie,1,0.03
Cookie served deep-fried at state fairs,1,0.03
Treat that is often taken apart,1,0.03
It was made kosher in 1998,1,0.03
Lunchbag snack,1,0.03
Cookie of note,1,0.03
Lunchbox sweet,1,0.03
Nabisco name,1,0.03
"Snacker's ""sandwich""",1,0.03
"After-school treat, maybe",1,0.03
Blizzard flavor at Dairy Queen,1,0.03
Brand of piecrust,1,0.03
Flavor of a McDonald's McFlurry,1,0.03
Ice cream sandwich brand,1,0.03
Its ingredient list starts with sugar and ends with chocolate,1,0.03
Lickable snack,1,0.03
Newton alternative,1,0.03
The first one was made at what is now Chelsea Market,1,0.03
Ingredient in Cookies 'n Cream ice cream,1,0.03
Some twist it before eating,1,0.03
Separable snack,1,0.03
Bicolored snack,1,0.03
Black and white goodie,1,0.03
Round treat,1,0.03
Snack that may be twisted apart,1,0.03
Chocolate-creme cookie,1,0.03
Cookie frequently taken apart,1,0.03
Cookie sold in a White Fudge version in winter,1,0.03
Ingredient in edible Dirt with Worms,1,0.03
Sandwich creme cookie,1,0.03
Treat that comes apart,1,0.03
Little dipper in a milky way?,1,0.03
"Cookie with a 1 3/4"" diameter",1,0.03
Snack introduced in 1912,1,0.03
Sweet debut of 1912,1,0.03
Brand of chocolate cones,1,0.03
Brand since 1912,1,0.03
Cookie that's been kosher since 5758,1,0.03
Lunchables treat,1,0.03
Makeshift beach blanket Othello piece?,1,0.03
Mallomar alternative,1,0.03
Newman-O lookalike,1,0.03
See 23-Across,1,0.03
Sponsor of NASCAR's Meijer 300 race,1,0.03
___ Dunkers (oblong cookies),1,0.03
___ Freeze (drink at Friendly's),1,0.03
___ O's (chocolaty cereal),1,0.03
___ Thin Crisps (Nabisco product),1,0.03
"""Got Milk?"" ad partner",1,0.03
Splittable cookie,1,0.03
Nabisco nugget,1,0.03
"Lunchbox cookie, perhaps",1,0.03
Twist-off snack,1,0.03
Creamy nibble,1,0.03
Ubiquitous crossword cookie,1,0.03
"Subject of Weird Al Yankovic's ""The White Stuff""",1,0.03
Nabisco product certified as kosher in 1998,1,0.03
Brown-and-white cookie,1,0.03
Cookie on a Domino's pizza,1,0.03
Cookie that can be taken apart,1,0.03
Double Delight for Cookie Monster,1,0.03
Each one has two colors and three layers,1,0.03
95-year-old cookie,1,0.03
Cookie that can be divided,1,0.03
Lunch munchie,1,0.03
Lunchtime snack,1,0.03
Treat with creme,1,0.03
"""Dark, delicious cookie"" of ad jingle fame",1,0.03
"""___ Cookie Blues"" (Lonnie Mack song)",1,0.03
Brand on nabiscoworld.com,1,0.03
Breyers ice cream flavor,1,0.03
Dessert pizza topping at Domino's,1,0.03
"Source of the title material in ""Weird Al"" Yankovic's ""The White Stuff""",1,0.03
___ Cakesters (snack brand),1,0.03
"Hydrox rival, once",1,0.03
Snack with a cream center,1,0.03
Cookie for 95 years,1,0.03
It has a cream center,1,0.03
Oft-twisted snack,1,0.03
Popular milk dunkee,1,0.03
Cookie often pulled apart,1,0.03
Ubiquitous cookie,1,0.03
Cookie for dunking,1,0.03
One topping for a Domino's dessert pizza,1,0.03
Twisted cookie,1,0.03
Lunch bag treat,1,0.03
Domino's ___ Dessert Pizza,1,0.03
Edible disk,1,0.03
Ice-cream additive,1,0.03
Milk partner,1,0.03
The Nabisco logo is imprinted on it,1,0.03
Twistable dessert,1,0.03
After-lunch bite,1,0.03
It may get a licking after lunch,1,0.03
Treat that's sometimes dunked,1,0.03
Cakesters flavor,1,0.03
Sponsor of the Double Stuf Racing League,1,0.03
Twisted delight?,1,0.03
Blue-packaged cookie,1,0.03
"Cookie jar item, perhaps",1,0.03
Cookie nearing 100,1,0.03
Cream cookie,1,0.03
Dunkable delectable,1,0.03
Item often dunked in milk,1,0.03
Thing often eaten open-faced,1,0.03
Treat that can be pulled apart,1,0.03
You might unscrew it to eat it,1,0.03
Oft-dunked item,1,0.03
Cookie classic,1,0.03
Junk-food sandwich,1,0.03
"Cookie crumbled in a milkshake, often",1,0.03
Cookie-based Jell-O pudding flavor,1,0.03
Its parts may be eaten separately,1,0.03
Nabisco chocolate-and-creme cookie,1,0.03
"Ice-cream ingredient, maybe",1,0.03
It was once made with lemon meringue,1,0.03
Milk-and-cookies choice,1,0.03
One of a half-trillion sold since 1912,1,0.03
___ Fun Barbie (1997 doll),1,0.03
"""Milk's favorite cookie,"" in commercials",1,0.03
Cookie sold in a blue package,1,0.03
Cookie with a filling,1,0.03
Kind of mud pie,1,0.03
Lunchbox dessert item,1,0.03
Cookie whose name is also a racial slur,1,0.03
"Cookie Monster treat, maybe",1,0.03
Creme-centered snack,1,0.03
Snack with a floral design on it,1,0.03
Twist-apart snack,1,0.03
After-lunch sandwich?,1,0.03
Classic Nabisco cookie,1,0.03
Crossword constructor's favorite cookie,1,0.03
Cookie creation of 1912,1,0.03
Duotone cookie,1,0.03
After-school munchie,1,0.03
Best-selling cookie in America,1,0.03
Favorite snack in crosswords?,1,0.03
Fun Stix cookie brand,1,0.03
Kraft Foods cookie brand,1,0.03
Snack whose ingredient list ends with chocolate,1,0.03
Stackable food,1,0.03
Its creme may be eaten first,1,0.03
One may be dipped in milk,1,0.03
"Ice-cream extra, at times",1,0.03
It has 12 flowers on each side,1,0.03
"It's 71% cookie, 29% creme",1,0.03
"Mousse pie ingredient, maybe",1,0.03
Snack with a floral design,1,0.03
Treat in a blue wrapper,1,0.03
Uh-Oh! ___ (Nabisco product),1,0.03
___ Cakesters (Nabisco offering),1,0.03
Cookie similar to Hydrox,1,0.03
Cookie used in some Klondike bars,1,0.03
"Ice cream topping, sometimes",1,0.03
Twisting dessert,1,0.03
Two-colored cookie,1,0.03
Two-toned cookie treat,1,0.03
Cookie some dunk in milk,1,0.03
It has two colors and three layers,1,0.03
Target of some twisters,1,0.03
"Subject of Weird Al's ""The White Stuff""",1,0.03
Cookie that predates crosswords,1,0.03
Filling snack?,1,0.03
Satirical 1974 novel by Fran Ross that shares its name with a cookie,1,0.03
___ Dessert Pizza (Domino's dish),1,0.03
<<NO CLUE>>,1,0.03
Cookie that might flavor a McFlurry,1,0.03
"Food associated with the starts of 16-, 36- and 56-Across",1,0.03
Ice cream-and-cookies brand,1,0.03
Snack with a removable top,1,0.03
"Cookies & Cream ingredient, maybe",1,0.03
Ice-cream flavor,1,0.03
Popular ice-cream ingredient,1,0.03
Twisted-apart treat,1,0.03
Cookie first baked in Manhattan's Chelsea district,1,0.03
"Item in a ""lick race""",1,0.03
Kind of pie or cake,1,0.03
Name for a black and white dog,1,0.03
___ Frosty Parfait (Wendy's dessert),1,0.03
Cookie that many take apart,1,0.03
Treat introduced in 1912,1,0.03
Two-tone sandwich cookie,1,0.03
Something dunked,1,0.03
"""100 years young"" cookie",1,0.03
Blizzard variety,1,0.03
Brand featured at nabiscoworld.com,1,0.03
Brand with chocolate cookie outsides,1,0.03
Cookie embossed with florets,1,0.03
"Cookie sandwiched inside 17-, 24-, 42-, and 56-Across",1,0.03
Cookie that celebrated its centennial this year,1,0.03
Cookie whose embossed design is trademarked,1,0.03
Cookie with Spring and Winter varieties,1,0.03
Dessert developed by Nabisco in 1912,1,0.03
Name on a cookie,1,0.03
Stacked treat,1,0.03
Sundae mix-in,1,0.03
"Sweet, circular treat",1,0.03
Cookie that celebrated its centennial in 2012,1,0.03
After-school cookie,1,0.03
Cookie used in milkshakes,1,0.03
One dunked after school,1,0.03
Cookie first sold in 1912,1,0.03
Cookie celebrating its centennial in 2012,1,0.03
Cookie that can be readily stacked,1,0.03
"Crumbled ingredient in ""dirt pudding""",1,0.03
Sandwich often given a twist,1,0.03
Snack with a Double Stuf variety,1,0.03
___ balls (chocolaty snacks),1,0.03
Doubly unhealthy deep-fried snack,1,0.03
Black and white snack since 1912,1,0.03
Certain cookie with a filling,1,0.03
Cookie celebrating 100 years,1,0.03
Cookie found in many crosswords,1,0.03
"Cookie in ice cream, often",1,0.03
Cookie that often appears in crosswords,1,0.03
Cookie that's been around for a century,1,0.03
Cookie with two colors and three layers,1,0.03
Hugely popular cookie,1,0.03
Lunch box dessert item,1,0.03
Nabisco's bestseller,1,0.03
Sandwich without meat or cheese,1,0.03
Tri-level cookie,1,0.03
"""Creme Sandwich"" cookie",1,0.03
100-year-old cookie,1,0.03
100-year-old snack,1,0.03
Cookie favorites for decades,1,0.03
Post-sandwich sandwich?,1,0.03
Brand that turned 100 in 2012,1,0.03
Treat celebrating its 100th birthday in 2012,1,0.03
Branded treat in some ice creams,1,0.03
Cookie shown with rainbow filling in ads on Gay Pride Day,1,0.03
"Bicolor ""biscuit"" since 1912",1,0.03
Blizzard choice at Dairy Queen,1,0.03
"Cookie seen in ""Wreck-It Ralph""",1,0.03
Cookie that received its kosher certification in late 1997,1,0.03
Cookie that recently celebrated its centennial,1,0.03
Cookie with a name of unknown origin,1,0.03
Crunchy sundae topping,1,0.03
"Its slogan is ""Milk's Favorite Cookie""",1,0.03
Longtime Hydrox rival,1,0.03
Top-selling cookie of the 20th century,1,0.03
"Brand with a ""Twist, Lick, Dunk"" app",1,0.03
Dipped cookie,1,0.03
Popular dunker,1,0.03
Pulled-apart cookie,1,0.03
Snack brand with a 2012 centennial,1,0.03
Versatile cookie,1,0.03
Cookie found in ice cream,1,0.03
Crumbled ice-cream additive,1,0.03
Crunchy ice-cream topping,1,0.03
Crushed sundae topping,1,0.03
Domino's topping introduced in '07,1,0.03
___ Biscuit (1912 debut),1,0.03
"""Double Stuf"" cookie",1,0.03
Black and white dunker,1,0.03
"Cookie on a sundae, perhaps",1,0.03
Cookie with only one consonant,1,0.03
Nabisco moneymaker,1,0.03
Post-sandwich sandwich cookie,1,0.03
Snack-aisle fixture,1,0.03
Twistable cookie treat,1,0.03
Creme-filled chocolate snack,1,0.03
Snack that can be twisted apart,1,0.03
Sweet lunchbox sandwich,1,0.03
Treat with three vowels,1,0.03
___ Dream Extreme Cheesecake (offering at the Cheesecake Factory),1,0.03
Treat with a creme filling,1,0.03
"Cookie that now has a ""cookie dough"" flavor",1,0.03
Cookies and cream ice cream cookie,1,0.03
Cookie with a Candy Corn variety,1,0.03
"Addictive cookie, according to a 2013 study",1,0.03
It can make a cookie shake crunchy,1,0.03
Sweet snack-time sandwich,1,0.03
Tripartite treat,1,0.03
Cookies n' Creme cookie maker,1,0.03
Dunked cookie,1,0.03
McFlurry option,1,0.03
Snack that's been a kosher food since 1998,1,0.03
__ balls: chocolaty snacks,1,0.03
"""Wonderfilled"" sweet",1,0.03
8 Down Cookies 'N Creme ingredient,1,0.03
Brownie brand,1,0.03
Crunchy ice-cream addition,1,0.03
Double Stuf brand,1,0.03
Jell-O pudding flavoring,1,0.03
Mini found in Snak-Saks,1,0.03
Sandwich cookie brand,1,0.03
"Small, round sandwich",1,0.03
Snack brand that turned 100 in 2012,1,0.03
White-centered treat,1,0.03
"Brand with a ""Wonderfilled"" ad campaign",1,0.03
Chocolaty nibble,1,0.03
Cookie ingredient in dirt cake,1,0.03
Cookie involved in a licking race,1,0.03
Cookie sometimes dunked in milk,1,0.03
Cookie that's kosher,1,0.03
Traditional ingredient in cookies and cream ice cream,1,0.03
___ cheesecake (black-and-white dessert),1,0.03
Black-and-white dunker,1,0.03
"Cookie atop a sundae, sometimes",1,0.03
Cookie in many crosswords,1,0.03
Lunch-box cookie,1,0.03
Popular creme-filled cookie,1,0.03
Some kids eat the middle of this first,1,0.03
Treat dipped in milk,1,0.03
Sundae bar topping,1,0.03
Ingredient in several Dairy Queen Blizzards,1,0.03
"""Wonderfilled"" sweet treat",1,0.03
Black-and-white invention of 1912,1,0.03
Blizzard option at Dairy Queen,1,0.03
Cookie for which a block in Manhattan is named,1,0.03
Cookie often served deep-fried at state fairs,1,0.03
Cookie that was verified as kosher in 1997,1,0.03
Cookie used in many desserts,1,0.03
Crossword solver's favorite cookie?,1,0.03
Snack with Banana Split and Birthday Cake varieties,1,0.03
Traditional cookie in Cookies 'n Cream ice cream,1,0.03
Treat often pulled apart,1,0.03
Cookie that has its own day every March 6,1,0.03
Snack sometimes fried,1,0.03
Snack with a white center,1,0.03
"""Grab 'em. Pop 'em. Love 'em"" brand of Minis",1,0.03
"""The world's favorite cookie""",1,0.03
Best-selling sandwich cookie,1,0.03
Big Nabisco brand,1,0.03
Crunch Parfait ingredient,1,0.03
Handi-Snacks brand,1,0.03
Its Spring edition has yellow filling,1,0.03
Its limited editions have included Watermelon and Gingerbread,1,0.03
"Snack in a new ""Thin"" version",1,0.03
Snack often twisted,1,0.03
Snackworks.com brand,1,0.03
Bicolor snack,1,0.03
Cookie that outcompeted Hydrox,1,0.03
Cookie with a chocolaty outside,1,0.03
