clue,year,words
Cookie that can be readily stacked,2012,"readily,stacked"
"Crumbled ingredient in ""dirt pudding""",2012,"crumbled,pudding"
Sandwich often given a twist,2012,given
Small sandwich,2012,small
___ Blizzard (Dairy Queen offering),2012,"blizzard,dairy,queen"
___ balls (chocolaty snacks),2012,balls
Black piecrust component,2012,"piecrust,component"
Many people like to take these apart,2012,"people,these"
Crumbly snack,2013,crumbly
Snack item that's round on both ends?,2013,ends
___ Biscuit (1912 debut),2013,debut
"Brand with a ""Wonderfilled"" ad campaign",2014,"wonderfilled,campaign"
Chips Ahoy! alternative,2014,"chips,ahoy"
Chocolaty nibble,2014,nibble
Cookie involved in a licking race,2014,involved
Cookie that's kosher,2014,kosher
Dunking cookie,2014,dunking
Traditional ingredient in cookies and cream ice cream,2014,traditional
___ cheesecake (black-and-white dessert),2014,cheesecake
Bicolor snack,2015,bicolor
Cookie in cookies-and-cream ice cream,2015,cookies-and-cream
Cookie that outcompeted Hydrox,2015,outcompeted
Cookie with a chocolaty outside,2015,outside
Non-fruit smoothie flavor,2015,"non-fruit,smoothie"
Product first released by the National Biscuit Company in 1912,2015,"released,national,company"
Common ice cream mix-in,2015,common
"Cookies in ""Wonderfilled"" ads",2015,ads
Some crumbled dessert toppings,2015,toppings
"""Twist, Lick, Dunk"" cookie",2016,dunk
"Black-and-white, in sneaker lingo",2016,"sneaker,lingo"
"Brand touted as ""Milk's favorite cookie""",2016,touted
Chocolaty goodie,2016,goodie
Cookie that started as a Hydrox knockoff,2016,"started,knockoff"
Cookie with a Thins variety,2016,thins
"Dessert item that was clued as ""Mountain: Comb. form"" in old crosswords",2016,"clued,old,crosswords"
"Things to ""Twist, Lick, Dunk"" in a game app",2016,"things,game,app"
Its filling contained lard until 1997,2017,"1997,contained,lard,until"
"""Creme sandwich"" introduced over a century ago",2017,century
Certain fro-yo add-in,2017,"fro-yo,add-in"
Cookie that's often pulled apart,2017,pulled
Crumbled froyo topping,2017,"froyo,topping"
Jell-O pudding flavor,2017,jell-o
Nabisco's answer to Hydrox,2017,answer
Snack you might bite or lick,2017,might
Frozen yogurt mix-in,2018,"frozen,yogurt"
Sister brand of Nilla wafers,2018,"sister,nilla,wafers"
Little sandwiches for dessert,2018,little
Snacks in stacks,2018,stacks
Snacks often paired with milk,2018,paired
Black-and-white item you can consume whole,2019,"consume,whole"
Most common commercial name in New York Times crosswords,2019,"commercial,new,york,times"
Product with a milk splash on its packaging,2019,"splash,packaging"
"Snack item once advertised as ""WONDERfILLED""",2019,advertised
Treat with the identical color scheme as this puzzle,2019,"identical,color,scheme,puzzle"
___ O's (breakfast cereal),2019,breakfast
Crushed toppings for ice cream sundaes,2019,"crushed,sundaes"
Shelfmates of Chips Ahoy!,2019,shelfmates
Black pie crust component,2020,crust
Golden ___ (vanilla-flavored snack),2020,vanilla-flavored
Popular name for a black-and-white pet,2020,pet
Snack items with their name on the top and bottom,2020,"top,bottom"
Some froyo bar toppings,2020,bar
